FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,芭府-1[1,4],19,SC,0.6701,,,,,
Distance,芭府-1[1,5],29,SC,0.6655,,,,,
Distance,芭府-1[1,6],39,SC,0.6680,,,,,
Distance,芭府-1[1,7],49,SC,0.6662,,,,,
Distance,芭府-1[1,8],59,SC,0.6576,,,,,
Distance,芭府-1[2,3],69,SC,0.6356,,,,,
Distance,芭府-1[2,4],79,SC,0.6693,,,,,
Distance,芭府-1[2,5],89,SC,0.6691,,,,,
Distance,芭府-1[2,6],99,SC,0.6720,,,,,
Distance,芭府-1[2,7],109,SC,0.6664,,,,,
Distance,芭府-1[2,8],119,SC,0.6693,,,,,
Distance,芭府-1[2,9],129,SC,0.6336,,,,,
Distance,芭府-1[3,2],139,SC,0.6329,,,,,
Distance,芭府-1[3,3],149,SC,0.6354,,,,,
Distance,芭府-1[3,4],159,SC,0.6729,,,,,
Distance,芭府-1[3,5],169,SC,0.6674,,,,,
Distance,芭府-1[3,6],179,SC,0.6722,,,,,
Distance,芭府-1[3,7],189,SC,0.6731,,,,,
Distance,芭府-1[3,8],199,SC,0.6729,,,,,
Distance,芭府-1[3,9],209,SC,0.6329,,,,,
Distance,芭府-1[3,10],219,SC,0.6332,,,,,
Distance,芭府-1[4,1],229,SC,0.6670,,,,,
Distance,芭府-1[4,2],239,SC,0.6609,,,,,
Distance,芭府-1[4,3],249,SC,0.6713,,,,,
Distance,芭府-1[4,4],259,SC,0.6654,,,,,
Distance,芭府-1[4,5],269,SC,0.6638,,,,,
Distance,芭府-1[4,6],279,SC,0.6649,,,,,
Distance,芭府-1[4,7],289,SC,0.6672,,,,,
Distance,芭府-1[4,8],299,SC,0.6623,,,,,
Distance,芭府-1[4,9],309,SC,0.6540,,,,,
Distance,芭府-1[4,10],319,SC,0.6493,,,,,
Distance,芭府-1[4,11],329,SC,0.6345,,,,,
Distance,芭府-1[5,1],339,SC,0.6687,,,,,
Distance,芭府-1[5,2],349,SC,0.6620,,,,,
Distance,芭府-1[5,3],359,SC,0.6662,,,,,
Distance,芭府-1[5,4],369,SC,0.6667,,,,,
Distance,芭府-1[5,5],379,SC,0.6674,,,,,
Distance,芭府-1[5,6],389,SC,0.6654,,,,,
Distance,芭府-1[5,7],399,SC,0.6683,,,,,
