FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,芭府-1[1,4],19,SC,0.7661,,,,
Distance,芭府-1[1,5],29,SC,0.763,,,,
Distance,芭府-1[1,6],39,SC,0.7587,,,,
Distance,芭府-1[1,7],49,SC,0.7648,,,,
Distance,芭府-1[1,8],59,SC,0.761,,,,
Distance,芭府-1[2,3],69,SC,0.7644,,,,
Distance,芭府-1[2,4],79,SC,0.7619,,,,
Distance,芭府-1[2,5],89,SC,0.7675,,,,
Distance,芭府-1[2,6],99,SC,0.7632,,,,
Distance,芭府-1[2,7],109,SC,0.7686,,,,
Distance,芭府-1[2,8],119,SC,0.7613,,,,
Distance,芭府-1[2,9],129,SC,0.7575,,,,
Distance,芭府-1[3,2],139,SC,0.7618,,,,
Distance,芭府-1[3,3],149,SC,0.7651,,,,
Distance,芭府-1[3,4],159,SC,0.7673,,,,
Distance,芭府-1[3,5],169,SC,0.766,,,,
Distance,芭府-1[3,6],179,SC,0.7647,,,,
Distance,芭府-1[3,7],189,SC,0.7692,,,,
Invalid Feature,芭府-1[3,8],199,****,0.7629,,,,
Distance,芭府-1[3,9],209,SC,0.7638,,,,
Distance,芭府-1[3,10],219,SC,0.7658,,,,
Distance,芭府-1[4,1],229,SC,0.795,,,,
Distance,芭府-1[4,2],239,SC,0.7838,,,,
Distance,芭府-1[4,3],249,SC,0.7909,,,,
Distance,芭府-1[4,4],259,SC,0.7841,,,,
Distance,芭府-1[4,5],269,SC,0.7809,,,,
Distance,芭府-1[4,6],279,SC,0.781,,,,
Invalid Feature,芭府-1[4,7],289,****,0.7713,,,,
Distance,芭府-1[4,8],299,SC,0.7733,,,,
Distance,芭府-1[4,9],309,SC,0.7654,,,,
Distance,芭府-1[4,10],319,SC,0.7695,,,,
Distance,芭府-1[4,11],329,SC,0.7662,,,,
Distance,芭府-1[5,1],339,SC,0.7894,,,,
Distance,芭府-1[5,2],349,SC,0.7908,,,,
Distance,芭府-1[5,3],359,SC,0.7875,,,,
Distance,芭府-1[5,4],369,SC,0.7894,,,,
Distance,芭府-1[5,5],379,SC,0.7853,,,,
Distance,芭府-1[5,6],389,SC,0.7857,,,,
Distance,芭府-1[5,7],399,SC,0.7785,,,,
Distance,芭府-1[5,8],409,SC,0.7721,,,,
Distance,芭府-1[5,9],419,SC,0.7605,,,,
Distance,芭府-1[5,10],429,SC,0.7542,,,,
Distance,芭府-1[5,11],439,SC,0.765,,,,
Distance,芭府-1[6,1],449,SC,0.7868,,,,
Distance,芭府-1[6,2],459,SC,0.7906,,,,
Distance,芭府-1[6,3],469,SC,0.7914,,,,
Distance,芭府-1[6,4],479,SC,0.7921,,,,
Distance,芭府-1[6,5],489,SC,0.7898,,,,
Distance,芭府-1[6,6],499,SC,0.7832,,,,
Distance,芭府-1[6,7],509,SC,0.7762,,,,
Distance,芭府-1[6,8],519,SC,0.7849,,,,
Distance,芭府-1[6,9],529,SC,0.7658,,,,
Distance,芭府-1[6,10],539,SC,0.7542,,,,
Distance,芭府-1[6,11],549,SC,0.7502,,,,
Distance,芭府-1[7,1],559,SC,0.7846,,,,
Distance,芭府-1[7,2],569,SC,0.7892,,,,
Distance,芭府-1[7,3],579,SC,0.7947,,,,
Distance,芭府-1[7,4],589,SC,0.7865,,,,
Distance,芭府-1[7,5],599,SC,0.75,,,,
Distance,芭府-1[7,6],609,SC,0.7597,,,,
Distance,芭府-1[7,7],619,SC,0.7844,,,,
Distance,芭府-1[7,8],629,SC,0.7583,,,,
Distance,芭府-1[7,9],639,SC,0.763,,,,
Distance,芭府-1[7,10],649,SC,0.7652,,,,
Distance,芭府-1[7,11],659,SC,0.7526,,,,
Distance,芭府-1[8,1],669,SC,0.7865,,,,
Distance,芭府-1[8,2],679,SC,0.7943,,,,
Distance,芭府-1[8,3],689,SC,0.7887,,,,
Distance,芭府-1[8,4],699,SC,0.7906,,,,
Distance,芭府-1[8,5],709,SC,0.7941,,,,
Distance,芭府-1[8,6],719,SC,0.789,,,,
Distance,芭府-1[8,7],729,SC,0.7824,,,,
Distance,芭府-1[8,8],739,SC,0.7731,,,,
Distance,芭府-1[8,9],749,SC,0.7707,,,,
Distance,芭府-1[8,10],759,SC,0.7669,,,,
Distance,芭府-1[8,11],769,SC,0.763,,,,
Distance,芭府-1[9,2],779,SC,0.7821,,,,
Distance,芭府-1[9,3],789,SC,0.7806,,,,
Distance,芭府-1[9,4],799,SC,0.7839,,,,
Distance,芭府-1[9,5],809,SC,0.7827,,,,
Distance,芭府-1[9,6],819,SC,0.7809,,,,
Distance,芭府-1[9,7],829,SC,0.7824,,,,
Distance,芭府-1[9,8],839,SC,0.777,,,,
Distance,芭府-1[9,9],849,SC,0.7807,,,,
Distance,芭府-1[9,10],859,SC,0.7866,,,,
Distance,芭府-1[10,3],869,SC,0.7839,,,,
Distance,芭府-1[10,4],879,SC,0.7776,,,,
Distance,芭府-1[10,5],889,SC,0.7838,,,,
Distance,芭府-1[10,6],899,SC,0.7873,,,,
Distance,芭府-1[10,7],909,SC,0.7806,,,,
Distance,芭府-1[10,8],919,SC,0.7808,,,,
Distance,芭府-1[10,9],929,SC,0.7749,,,,
Distance,芭府-1[11,4],939,SC,0.7832,,,,
Distance,芭府-1[11,5],949,SC,0.7623,,,,
Distance,芭府-1[11,6],959,SC,0.7863,,,,
Distance,芭府-1[11,7],969,SC,0.7816,,,,
Distance,芭府-1[11,8],979,SC,0.7799,,,,
