FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,芭府-2[1,4],19,SC,0.7366,,,,,
Distance,芭府-2[1,5],29,SC,0.7295,,,,,
Distance,芭府-2[1,6],39,SC,0.7457,,,,,
Distance,芭府-2[1,7],49,SC,0.7418,,,,,
Distance,芭府-2[1,8],59,SC,0.7057,,,,,
Distance,芭府-2[2,3],69,SC,0.7358,,,,,
Distance,芭府-2[2,4],79,SC,0.7307,,,,,
Distance,芭府-2[2,5],89,SC,0.7309,,,,,
Distance,芭府-2[2,6],99,SC,0.7450,,,,,
Distance,芭府-2[2,7],109,SC,0.7378,,,,,
Distance,芭府-2[2,8],119,SC,0.7345,,,,,
Distance,芭府-2[2,9],129,SC,0.7523,,,,,
Distance,芭府-2[3,2],139,SC,0.7389,,,,,
Distance,芭府-2[3,3],149,SC,0.7384,,,,,
Distance,芭府-2[3,4],159,SC,0.7318,,,,,
Distance,芭府-2[3,5],169,SC,0.7367,,,,,
Distance,芭府-2[3,6],179,SC,0.7459,,,,,
Distance,芭府-2[3,7],189,SC,0.7424,,,,,
Distance,芭府-2[3,8],199,SC,0.7512,,,,,
Distance,芭府-2[3,9],209,SC,0.7344,,,,,
Distance,芭府-2[3,10],219,SC,0.7490,,,,,
Distance,芭府-2[4,1],229,SC,0.7638,,,,,
Distance,芭府-2[4,2],239,SC,0.7667,,,,,
Distance,芭府-2[4,3],249,SC,0.7631,,,,,
Distance,芭府-2[4,4],259,SC,0.7637,,,,,
Distance,芭府-2[4,5],269,SC,0.7621,,,,,
Distance,芭府-2[4,6],279,SC,0.7658,,,,,
Distance,芭府-2[4,7],289,SC,0.7649,,,,,
Distance,芭府-2[4,8],299,SC,0.7553,,,,,
Distance,芭府-2[4,9],309,SC,0.7448,,,,,
Distance,芭府-2[4,10],319,SC,0.7540,,,,,
Distance,芭府-2[4,11],329,SC,0.7579,,,,,
Distance,芭府-2[5,1],339,SC,0.7608,,,,,
Distance,芭府-2[5,2],349,SC,0.7652,,,,,
Distance,芭府-2[5,3],359,SC,0.7697,,,,,
Distance,芭府-2[5,4],369,SC,0.7769,,,,,
Distance,芭府-2[5,5],379,SC,0.7732,,,,,
Distance,芭府-2[5,6],389,SC,0.7797,,,,,
Distance,芭府-2[5,7],399,SC,0.7554,,,,,
Distance,芭府-2[5,8],409,SC,0.7643,,,,,
Distance,芭府-2[5,9],419,SC,0.7553,,,,,
Distance,芭府-2[5,10],429,SC,0.7529,,,,,
Distance,芭府-2[5,11],439,SC,0.7596,,,,,
Distance,芭府-2[6,1],449,SC,0.7767,,,,,
