FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,芭府-1[1,4],19,SC,0.7541,,,,
Distance,芭府-1[1,5],29,SC,0.7512,,,,
Distance,芭府-1[1,6],39,SC,0.7617,,,,
Distance,芭府-1[1,7],49,SC,0.7564,,,,
Distance,芭府-1[1,8],59,SC,0.7562,,,,
Distance,芭府-1[2,3],69,SC,0.7495,,,,
Distance,芭府-1[2,4],79,SC,0.7436,,,,
Distance,芭府-1[2,5],89,SC,0.7423,,,,
Distance,芭府-1[2,6],99,SC,0.7551,,,,
Distance,芭府-1[2,7],109,SC,0.7456,,,,
Distance,芭府-1[2,8],119,SC,0.749,,,,
Distance,芭府-1[2,9],129,SC,0.7617,,,,
Distance,芭府-1[3,2],139,SC,0.7323,,,,
Distance,芭府-1[3,3],149,SC,0.7312,,,,
Distance,芭府-1[3,4],159,SC,0.7521,,,,
Distance,芭府-1[3,5],169,SC,0.7497,,,,
Distance,芭府-1[3,6],179,SC,0.7497,,,,
Distance,芭府-1[3,7],189,SC,0.7514,,,,
Distance,芭府-1[3,8],199,SC,0.7524,,,,
Distance,芭府-1[3,9],209,SC,0.7525,,,,
Distance,芭府-1[3,10],219,SC,0.7522,,,,
Distance,芭府-1[4,1],229,SC,0.7572,,,,
Distance,芭府-1[4,2],239,SC,0.745,,,,
Distance,芭府-1[4,3],249,SC,0.7537,,,,
Distance,芭府-1[4,4],259,SC,0.7559,,,,
Distance,芭府-1[4,5],269,SC,0.7492,,,,
Distance,芭府-1[4,6],279,SC,0.7288,,,,
Invalid Feature,芭府-1[4,7],289,****,0.7449,,,,
Distance,芭府-1[4,8],299,SC,0.7566,,,,
Distance,芭府-1[4,9],309,SC,0.7509,,,,
Distance,芭府-1[4,10],319,SC,0.7526,,,,
Distance,芭府-1[4,11],329,SC,0.7671,,,,
Distance,芭府-1[5,1],339,SC,0.7283,,,,
Distance,芭府-1[5,2],349,SC,0.747,,,,
Distance,芭府-1[5,3],359,SC,0.7572,,,,
Distance,芭府-1[5,4],369,SC,0.7398,,,,
Distance,芭府-1[5,5],379,SC,0.771,,,,
Distance,芭府-1[5,6],389,SC,0.7481,,,,
Distance,芭府-1[5,7],399,SC,0.7618,,,,
Distance,芭府-1[5,8],409,SC,0.7583,,,,
Distance,芭府-1[5,9],419,SC,0.7506,,,,
Distance,芭府-1[5,10],429,SC,0.748,,,,
Distance,芭府-1[5,11],439,SC,0.7522,,,,
Distance,芭府-1[6,1],449,SC,0.7517,,,,
Distance,芭府-1[6,2],459,SC,0.7555,,,,
Distance,芭府-1[6,3],469,SC,0.7462,,,,
Distance,芭府-1[6,4],479,SC,0.767,,,,
Distance,芭府-1[6,5],489,SC,0.7687,,,,
Distance,芭府-1[6,6],499,SC,0.7622,,,,
Distance,芭府-1[6,7],509,SC,0.7617,,,,
Distance,芭府-1[6,8],519,SC,0.7557,,,,
Distance,芭府-1[6,9],529,SC,0.7566,,,,
Distance,芭府-1[6,10],539,SC,0.7546,,,,
Distance,芭府-1[6,11],549,SC,0.7511,,,,
Distance,芭府-1[7,1],559,SC,0.7501,,,,
Distance,芭府-1[7,2],569,SC,0.7549,,,,
Distance,芭府-1[7,3],579,SC,0.7586,,,,
Distance,芭府-1[7,4],589,SC,0.7579,,,,
Distance,芭府-1[7,5],599,SC,0.7646,,,,
Distance,芭府-1[7,6],609,SC,0.7543,,,,
Distance,芭府-1[7,7],619,SC,0.764,,,,
Distance,芭府-1[7,8],629,SC,0.7529,,,,
