FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,芭府-1[1,4],19,SC,0.7805,,,,
Distance,芭府-1[1,5],29,SC,0.7868,,,,
Distance,芭府-1[1,6],39,SC,0.7869,,,,
Distance,芭府-1[1,7],49,SC,0.7887,,,,
Distance,芭府-1[1,8],59,SC,0.7842,,,,
Distance,芭府-1[2,3],69,SC,0.7861,,,,
Distance,芭府-1[2,4],79,SC,0.7944,,,,
Distance,芭府-1[2,5],89,SC,0.7838,,,,
Distance,芭府-1[2,6],99,SC,0.7869,,,,
Distance,芭府-1[2,7],109,SC,0.7655,,,,
Distance,芭府-1[2,8],119,SC,0.778,,,,
Distance,芭府-1[2,9],129,SC,0.769,,,,
Distance,芭府-1[3,2],139,SC,0.7824,,,,
Distance,芭府-1[3,3],149,SC,0.7367,,,,
Distance,芭府-1[3,4],159,SC,0.7818,,,,
Distance,芭府-1[3,5],169,SC,0.7907,,,,
Distance,芭府-1[3,6],179,SC,0.7662,,,,
Distance,芭府-1[3,7],189,SC,0.7578,,,,
Distance,芭府-1[3,8],199,SC,0.7297,,,,
Distance,芭府-1[3,9],209,SC,0.7487,,,,
Distance,芭府-1[3,10],219,SC,0.7692,,,,
Distance,芭府-1[4,1],229,SC,0.7853,,,,
Distance,芭府-1[4,2],239,SC,0.761,,,,
Distance,芭府-1[4,3],249,SC,0.7585,,,,
Distance,芭府-1[4,4],259,SC,0.7652,,,,
Distance,芭府-1[4,5],269,SC,0.7457,,,,
Distance,芭府-1[4,6],279,SC,0.7731,,,,
Distance,芭府-1[4,7],289,SC,0.7639,,,,
Distance,芭府-1[4,8],299,SC,0.7371,,,,
Distance,芭府-1[4,9],309,SC,0.7711,,,,
Distance,芭府-1[4,10],319,SC,0.7697,,,,
Distance,芭府-1[4,11],329,SC,0.7695,,,,
Distance,芭府-1[5,1],339,SC,0.759,,,,
Distance,芭府-1[5,2],349,SC,0.8,,,,
Distance,芭府-1[5,3],359,SC,0.7515,,,,
Distance,芭府-1[5,4],369,SC,0.7892,,,,
Distance,芭府-1[5,5],379,SC,0.8032,,,,
Distance,芭府-1[5,6],389,SC,0.7909,,,,
Distance,芭府-1[5,7],399,SC,0.7906,,,,
Distance,芭府-1[5,8],409,SC,0.7895,,,,
Distance,芭府-1[5,9],419,SC,0.7745,,,,
