FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,면-1,9,Flatness,,,0.0004,,,
Point,점-4[1,4],18,Coord_Z,0.8191,,,,
Distance,거리-1[1,4],19,SC,0.8186,,,,
Point,점-4[1,5],28,Coord_Z,0.8251,,,,
Distance,거리-1[1,5],29,SC,0.825,,,,
Point,점-4[1,6],38,Coord_Z,0.8251,,,,
Distance,거리-1[1,6],39,SC,0.8246,,,,
Point,점-4[1,7],48,Coord_Z,0.8277,,,,
Distance,거리-1[1,7],49,SC,0.826,,,,
Point,점-4[1,8],58,Coord_Z,0.8229,,,,
Distance,거리-1[1,8],59,SC,0.8226,,,,
Point,점-4[2,3],68,Coord_Z,0.8211,,,,
Distance,거리-1[2,3],69,SC,0.8201,,,,
Point,점-4[2,4],78,Coord_Z,0.8145,,,,
Distance,거리-1[2,4],79,SC,0.8146,,,,
Point,점-4[2,5],88,Coord_Z,0.8247,,,,
Distance,거리-1[2,5],89,SC,0.8251,,,,
Point,점-4[2,6],98,Coord_Z,0.7574,,,,
Distance,거리-1[2,6],99,SC,0.7573,,,,
Point,점-4[2,7],108,Coord_Z,0.8199,,,,
Distance,거리-1[2,7],109,SC,0.8187,,,,
Point,점-4[2,8],118,Coord_Z,0.8314,,,,
Distance,거리-1[2,8],119,SC,0.8304,,,,
Point,점-4[2,9],128,Coord_Z,0.8076,,,,
Distance,거리-1[2,9],129,SC,0.8072,,,,
Point,점-4[3,2],138,Coord_Z,0.8207,,,,
Distance,거리-1[3,2],139,SC,0.8212,,,,
Point,점-4[3,3],148,Coord_Z,0.8301,,,,
Distance,거리-1[3,3],149,SC,0.8297,,,,
Point,점-4[3,4],158,Coord_Z,0.8197,,,,
Distance,거리-1[3,4],159,SC,0.8193,,,,
Point,점-4[3,5],168,Coord_Z,0.8174,,,,
Distance,거리-1[3,5],169,SC,0.8165,,,,
Point,점-4[3,6],178,Coord_Z,0.8155,,,,
Distance,거리-1[3,6],179,SC,0.8153,,,,
Point,점-4[3,7],188,Coord_Z,0.8148,,,,
Distance,거리-1[3,7],189,SC,0.8148,,,,
Point,점-4[3,8],198,Coord_Z,0.844,,,,
Distance,거리-1[3,8],199,SC,0.8444,,,,
Point,점-4[3,9],208,Coord_Z,0.774,,,,
Distance,거리-1[3,9],209,SC,0.7742,,,,
Point,점-4[3,10],218,Coord_Z,0.8309,,,,
Distance,거리-1[3,10],219,SC,0.8308,,,,
Point,점-4[4,1],228,Coord_Z,0.8255,,,,
Distance,거리-1[4,1],229,SC,0.8257,,,,
Point,점-4[4,2],238,Coord_Z,0.8222,,,,
Distance,거리-1[4,2],239,SC,0.8222,,,,
Point,점-4[4,3],248,Coord_Z,0.7813,,,,
Distance,거리-1[4,3],249,SC,0.7814,,,,
Point,점-4[4,4],258,Coord_Z,0.8004,,,,
Distance,거리-1[4,4],259,SC,0.7999,,,,
Point,점-4[4,5],268,Coord_Z,0.7907,,,,
Distance,거리-1[4,5],269,SC,0.7901,,,,
Point,점-4[4,6],278,Coord_Z,0.8456,,,,
Distance,거리-1[4,6],279,SC,0.845,,,,
Point,점-4[4,7],288,Coord_Z,0.8282,,,,
Distance,거리-1[4,7],289,SC,0.8282,,,,
Point,점-4[4,8],298,Coord_Z,0.7821,,,,
Distance,거리-1[4,8],299,SC,0.7821,,,,
Point,점-4[4,9],308,Coord_Z,0.8108,,,,
Distance,거리-1[4,9],309,SC,0.8097,,,,
Point,점-4[4,10],318,Coord_Z,0.8051,,,,
Distance,거리-1[4,10],319,SC,0.8048,,,,
Point,점-4[4,11],328,Coord_Z,0.8086,,,,
Distance,거리-1[4,11],329,SC,0.8087,,,,
Point,점-4[5,1],338,Coord_Z,0.797,,,,
Distance,거리-1[5,1],339,SC,0.7967,,,,
Point,점-4[5,2],348,Coord_Z,0.8035,,,,
Distance,거리-1[5,2],349,SC,0.8035,,,,
Point,점-4[5,3],358,Coord_Z,0.8206,,,,
Distance,거리-1[5,3],359,SC,0.8214,,,,
Point,점-4[5,4],368,Coord_Z,0.8269,,,,
Distance,거리-1[5,4],369,SC,0.8263,,,,
Point,점-4[5,5],378,Coord_Z,0.7722,,,,
Distance,거리-1[5,5],379,SC,0.7714,,,,
Point,점-4[5,6],388,Coord_Z,0.8265,,,,
Distance,거리-1[5,6],389,SC,0.8256,,,,
Point,점-4[5,7],398,Coord_Z,0.8257,,,,
Distance,거리-1[5,7],399,SC,0.8256,,,,
Point,점-4[5,8],408,Coord_Z,0.8274,,,,
Distance,거리-1[5,8],409,SC,0.8272,,,,
Point,점-4[5,9],418,Coord_Z,0.8115,,,,
Distance,거리-1[5,9],419,SC,0.8104,,,,
Point,점-4[5,10],428,Coord_Z,0.8099,,,,
Distance,거리-1[5,10],429,SC,0.8108,,,,
Point,점-4[5,11],438,Coord_Z,0.8093,,,,
Distance,거리-1[5,11],439,SC,0.8091,,,,
Point,점-4[6,1],448,Coord_Z,0.8131,,,,
Distance,거리-1[6,1],449,SC,0.8136,,,,
Point,점-4[6,2],458,Coord_Z,0.8206,,,,
Distance,거리-1[6,2],459,SC,0.8208,,,,
Point,점-4[6,3],468,Coord_Z,0.8182,,,,
Distance,거리-1[6,3],469,SC,0.819,,,,
Point,점-4[6,4],478,Coord_Z,0.8269,,,,
Distance,거리-1[6,4],479,SC,0.8271,,,,
Point,점-4[6,5],488,Coord_Z,0.7646,,,,
Distance,거리-1[6,5],489,SC,0.7645,,,,
Point,점-4[6,6],498,Coord_Z,0.8072,,,,
Distance,거리-1[6,6],499,SC,0.8069,,,,
Point,점-4[6,7],508,Coord_Z,0.8153,,,,
Distance,거리-1[6,7],509,SC,0.8159,,,,
Point,점-4[6,8],518,Coord_Z,0.8469,,,,
Distance,거리-1[6,8],519,SC,0.8469,,,,
Point,점-4[6,9],528,Coord_Z,0.808,,,,
Distance,거리-1[6,9],529,SC,0.8079,,,,
Point,점-4[6,10],538,Coord_Z,0.777,,,,
Distance,거리-1[6,10],539,SC,0.7769,,,,
Point,점-4[6,11],548,Coord_Z,0.8083,,,,
Distance,거리-1[6,11],549,SC,0.8091,,,,
Point,점-4[7,1],558,Coord_Z,0.8235,,,,
Distance,거리-1[7,1],559,SC,0.8248,,,,
Point,점-4[7,2],568,Coord_Z,0.822,,,,
Distance,거리-1[7,2],569,SC,0.8227,,,,
Point,점-4[7,3],578,Coord_Z,0.8086,,,,
Distance,거리-1[7,3],579,SC,0.8096,,,,
Point,점-4[7,4],588,Coord_Z,0.8156,,,,
Distance,거리-1[7,4],589,SC,0.8159,,,,
Point,점-4[7,5],598,Coord_Z,0.8219,,,,
Distance,거리-1[7,5],599,SC,0.8226,,,,
Point,점-4[7,6],608,Coord_Z,0.7803,,,,
Distance,거리-1[7,6],609,SC,0.7815,,,,
Point,점-4[7,7],618,Coord_Z,0.8397,,,,
Distance,거리-1[7,7],619,SC,0.8402,,,,
Point,점-4[7,8],628,Coord_Z,0.8406,,,,
Distance,거리-1[7,8],629,SC,0.8415,,,,
Point,점-4[7,9],638,Coord_Z,0.81,,,,
Distance,거리-1[7,9],639,SC,0.8095,,,,
Point,점-4[7,10],648,Coord_Z,0.842,,,,
Distance,거리-1[7,10],649,SC,0.8424,,,,
Point,점-4[7,11],658,Coord_Z,0.8067,,,,
Distance,거리-1[7,11],659,SC,0.8072,,,,
Point,점-4[8,1],668,Coord_Z,0.8053,,,,
Distance,거리-1[8,1],669,SC,0.8069,,,,
Point,점-4[8,2],678,Coord_Z,0.7623,,,,
