FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,면-1,9,Flatness,,,0.0006,,,
Point,점-4[1,4],17,Coord_Z,0.8211,,,,,
Point,점-4[1,5],25,Coord_Z,0.8265,,,,,
Point,점-4[1,6],33,Coord_Z,0.8252,,,,,
Point,점-4[1,7],41,Coord_Z,0.8288,,,,,
Point,점-4[1,8],49,Coord_Z,0.8234,,,,,
Point,점-4[2,3],57,Coord_Z,0.8352,,,,,
Point,점-4[2,4],65,Coord_Z,0.8341,,,,,
Point,점-4[2,5],73,Coord_Z,0.8258,,,,,
Point,점-4[2,6],81,Coord_Z,0.8263,,,,,
Point,점-4[2,7],89,Coord_Z,0.8368,,,,,
Point,점-4[2,8],97,Coord_Z,0.8322,,,,,
Point,점-4[2,9],105,Coord_Z,0.8100,,,,,
Point,점-4[3,2],113,Coord_Z,0.8206,,,,,
Point,점-4[3,3],121,Coord_Z,0.8299,,,,,
Point,점-4[3,4],129,Coord_Z,0.8369,,,,,
Point,점-4[3,5],137,Coord_Z,0.8323,,,,,
Point,점-4[3,6],145,Coord_Z,0.8213,,,,,
Point,점-4[3,7],153,Coord_Z,0.8224,,,,,
Point,점-4[3,8],161,Coord_Z,0.8456,,,,,
Point,점-4[3,9],169,Coord_Z,0.8160,,,,,
Point,점-4[3,10],177,Coord_Z,0.8399,,,,,
Point,점-4[4,1],185,Coord_Z,0.8298,,,,,
Point,점-4[4,2],193,Coord_Z,0.8290,,,,,
Point,점-4[4,3],201,Coord_Z,0.8395,,,,,
Point,점-4[4,4],209,Coord_Z,0.8243,,,,,
Point,점-4[4,5],217,Coord_Z,0.8275,,,,,
Point,점-4[4,6],225,Coord_Z,0.8473,,,,,
Point,점-4[4,7],233,Coord_Z,0.8295,,,,,
Point,점-4[4,8],241,Coord_Z,0.8386,,,,,
Point,점-4[4,9],249,Coord_Z,0.8140,,,,,
Point,점-4[4,10],257,Coord_Z,0.8142,,,,,
Point,점-4[4,11],265,Coord_Z,0.8124,,,,,
Point,점-4[5,1],273,Coord_Z,0.8346,,,,,
Point,점-4[5,2],281,Coord_Z,0.8380,,,,,
Point,점-4[5,3],289,Coord_Z,0.8304,,,,,
Point,점-4[5,4],297,Coord_Z,0.8283,,,,,
Point,점-4[5,5],305,Coord_Z,0.8416,,,,,
Point,점-4[5,6],313,Coord_Z,0.8272,,,,,
Point,점-4[5,7],321,Coord_Z,0.8265,,,,,
Point,점-4[5,8],329,Coord_Z,0.8287,,,,,
Point,점-4[5,9],337,Coord_Z,0.8148,,,,,
Point,점-4[5,10],345,Coord_Z,0.8115,,,,,
Point,점-4[5,11],353,Coord_Z,0.8132,,,,,
Point,점-4[6,1],361,Coord_Z,0.8354,,,,,
Point,점-4[6,2],369,Coord_Z,0.8219,,,,,
Point,점-4[6,3],377,Coord_Z,0.8317,,,,,
Point,점-4[6,4],385,Coord_Z,0.8288,,,,,
Point,점-4[6,5],393,Coord_Z,0.8411,,,,,
Point,점-4[6,6],401,Coord_Z,0.8250,,,,,
Point,점-4[6,7],409,Coord_Z,0.8182,,,,,
Point,점-4[6,8],417,Coord_Z,0.8142,,,,,
Point,점-4[6,9],425,Coord_Z,0.8211,,,,,
Point,점-4[6,10],433,Coord_Z,0.8143,,,,,
Point,점-4[6,11],441,Coord_Z,0.8106,,,,,
Point,점-4[7,1],449,Coord_Z,0.8242,,,,,
Point,점-4[7,2],457,Coord_Z,0.8239,,,,,
Point,점-4[7,3],465,Coord_Z,0.8227,,,,,
Point,점-4[7,4],473,Coord_Z,0.8175,,,,,
Point,점-4[7,5],481,Coord_Z,0.8249,,,,,
Point,점-4[7,6],489,Coord_Z,0.8161,,,,,
Point,점-4[7,7],497,Coord_Z,0.8410,,,,,
Point,점-4[7,8],505,Coord_Z,0.8457,,,,,
Point,점-4[7,9],513,Coord_Z,0.8130,,,,,
Point,점-4[7,10],521,Coord_Z,0.8321,,,,,
Point,점-4[7,11],529,Coord_Z,0.8101,,,,,
Point,점-4[8,1],537,Coord_Z,0.8310,,,,,
Point,점-4[8,2],545,Coord_Z,0.8439,,,,,
Point,점-4[8,3],553,Coord_Z,0.8351,,,,,
Point,점-4[8,4],561,Coord_Z,0.8397,,,,,
Point,점-4[8,5],569,Coord_Z,0.8245,,,,,
Point,점-4[8,6],577,Coord_Z,0.8144,,,,,
Point,점-4[8,7],585,Coord_Z,0.8215,,,,,
Point,점-4[8,8],593,Coord_Z,0.8215,,,,,
Point,점-4[8,9],601,Coord_Z,0.8129,,,,,
Point,점-4[8,10],609,Coord_Z,0.8127,,,,,
Point,점-4[8,11],617,Coord_Z,0.8180,,,,,
Point,점-4[9,2],625,Coord_Z,0.8229,,,,,
Point,점-4[9,3],633,Coord_Z,0.8273,,,,,
Point,점-4[9,4],641,Coord_Z,0.8136,,,,,
Point,점-4[9,5],649,Coord_Z,0.8198,,,,,
Point,점-4[9,6],657,Coord_Z,0.8208,,,,,
Point,점-4[9,7],665,Coord_Z,0.8320,,,,,
Point,점-4[9,8],673,Coord_Z,0.8424,,,,,
Point,점-4[9,9],681,Coord_Z,0.8336,,,,,
Point,점-4[9,10],689,Coord_Z,0.8237,,,,,
Point,점-4[10,3],697,Coord_Z,0.8224,,,,,
Point,점-4[10,4],705,Coord_Z,0.8201,,,,,
Point,점-4[10,5],713,Coord_Z,0.8157,,,,,
Point,점-4[10,6],721,Coord_Z,0.8197,,,,,
Point,점-4[10,7],729,Coord_Z,0.8124,,,,,
Point,점-4[10,8],737,Coord_Z,0.8129,,,,,
Point,점-4[10,9],745,Coord_Z,0.8149,,,,,
Point,점-4[11,4],753,Coord_Z,0.8217,,,,,
Point,점-4[11,5],761,Coord_Z,0.8120,,,,,
Point,점-4[11,6],769,Coord_Z,0.8121,,,,,
Point,점-4[11,7],777,Coord_Z,0.8132,,,,,
Point,점-4[11,8],785,Coord_Z,0.8212,,,,,
