FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Point,¥œµÈ∆¡[1,4],17,Coord_Z,0.7598,,,,
Point,¥œµÈ∆¡[1,5],25,Coord_Z,0.7687,,,,
Point,¥œµÈ∆¡[1,6],33,Coord_Z,0.7682,,,,
Point,¥œµÈ∆¡[1,7],41,Coord_Z,0.7679,,,,
Point,¥œµÈ∆¡[1,8],49,Coord_Z,0.7706,,,,
Point,¥œµÈ∆¡[2,3],57,Coord_Z,0.7646,,,,
Point,¥œµÈ∆¡[2,4],65,Coord_Z,0.7651,,,,
Point,¥œµÈ∆¡[2,5],73,Coord_Z,0.7649,,,,
Point,¥œµÈ∆¡[2,6],81,Coord_Z,0.764,,,,
Point,¥œµÈ∆¡[2,7],89,Coord_Z,0.7641,,,,
Point,¥œµÈ∆¡[2,8],97,Coord_Z,0.7641,,,,
Point,¥œµÈ∆¡[2,9],105,Coord_Z,0.7625,,,,
Point,¥œµÈ∆¡[3,2],113,Coord_Z,0.7646,,,,
Point,¥œµÈ∆¡[3,3],121,Coord_Z,0.7613,,,,
Point,¥œµÈ∆¡[3,4],129,Coord_Z,0.7637,,,,
Point,¥œµÈ∆¡[3,5],137,Coord_Z,0.7632,,,,
Point,¥œµÈ∆¡[3,6],145,Coord_Z,0.7634,,,,
Point,¥œµÈ∆¡[3,7],153,Coord_Z,0.7623,,,,
Point,¥œµÈ∆¡[3,8],161,Coord_Z,0.7615,,,,
Point,¥œµÈ∆¡[3,9],169,Coord_Z,0.7607,,,,
Point,¥œµÈ∆¡[3,10],177,Coord_Z,0.7635,,,,
Point,¥œµÈ∆¡[4,1],185,Coord_Z,0.7642,,,,
Point,¥œµÈ∆¡[4,2],193,Coord_Z,0.7605,,,,
Point,¥œµÈ∆¡[4,3],201,Coord_Z,0.7594,,,,
Point,¥œµÈ∆¡[4,4],209,Coord_Z,0.7611,,,,
Point,¥œµÈ∆¡[4,5],217,Coord_Z,0.7629,,,,
Point,¥œµÈ∆¡[4,6],225,Coord_Z,0.7619,,,,
Point,¥œµÈ∆¡[4,7],233,Coord_Z,0.7619,,,,
Point,¥œµÈ∆¡[4,8],241,Coord_Z,0.7607,,,,
Point,¥œµÈ∆¡[4,9],249,Coord_Z,0.7577,,,,
Point,¥œµÈ∆¡[4,10],257,Coord_Z,0.7657,,,,
Point,¥œµÈ∆¡[4,11],265,Coord_Z,0.7709,,,,
Point,¥œµÈ∆¡[5,1],273,Coord_Z,0.766,,,,
Point,¥œµÈ∆¡[5,2],281,Coord_Z,0.7642,,,,
Point,¥œµÈ∆¡[5,3],289,Coord_Z,0.7644,,,,
Point,¥œµÈ∆¡[5,4],297,Coord_Z,0.7625,,,,
Point,¥œµÈ∆¡[5,5],305,Coord_Z,0.7624,,,,
Point,¥œµÈ∆¡[5,6],313,Coord_Z,0.7625,,,,
Point,¥œµÈ∆¡[5,7],321,Coord_Z,0.761,,,,
Point,¥œµÈ∆¡[5,8],329,Coord_Z,0.7591,,,,
Point,¥œµÈ∆¡[5,9],337,Coord_Z,0.7659,,,,
Point,¥œµÈ∆¡[5,10],345,Coord_Z,0.7662,,,,
Point,¥œµÈ∆¡[5,11],353,Coord_Z,0.7705,,,,
Point,¥œµÈ∆¡[6,1],361,Coord_Z,0.7686,,,,
Point,¥œµÈ∆¡[6,2],369,Coord_Z,0.7663,,,,
Point,¥œµÈ∆¡[6,3],377,Coord_Z,0.7659,,,,
Point,¥œµÈ∆¡[6,4],385,Coord_Z,0.7604,,,,
Point,¥œµÈ∆¡[6,5],393,Coord_Z,0.7606,,,,
Point,¥œµÈ∆¡[6,6],401,Coord_Z,0.7584,,,,
Point,¥œµÈ∆¡[6,7],409,Coord_Z,0.7565,,,,
Point,¥œµÈ∆¡[6,8],417,Coord_Z,0.756,,,,
Point,¥œµÈ∆¡[6,9],425,Coord_Z,0.7678,,,,
Point,¥œµÈ∆¡[6,10],433,Coord_Z,0.7692,,,,
Point,¥œµÈ∆¡[6,11],441,Coord_Z,0.7727,,,,
Point,¥œµÈ∆¡[7,1],449,Coord_Z,0.7717,,,,
Point,¥œµÈ∆¡[7,2],457,Coord_Z,0.7692,,,,
Point,¥œµÈ∆¡[7,3],465,Coord_Z,0.7685,,,,
Point,¥œµÈ∆¡[7,4],473,Coord_Z,0.7587,,,,
Point,¥œµÈ∆¡[7,5],481,Coord_Z,0.7611,,,,
Point,¥œµÈ∆¡[7,6],489,Coord_Z,0.7632,,,,
Point,¥œµÈ∆¡[7,7],497,Coord_Z,0.7632,,,,
Point,¥œµÈ∆¡[7,8],505,Coord_Z,0.7613,,,,
Point,¥œµÈ∆¡[7,9],513,Coord_Z,0.7721,,,,
Point,¥œµÈ∆¡[7,10],521,Coord_Z,0.7715,,,,
Point,¥œµÈ∆¡[7,11],529,Coord_Z,0.7765,,,,
Point,¥œµÈ∆¡[8,1],537,Coord_Z,0.7762,,,,
Point,¥œµÈ∆¡[8,2],545,Coord_Z,0.7731,,,,
Point,¥œµÈ∆¡[8,3],553,Coord_Z,0.7728,,,,
Point,¥œµÈ∆¡[8,4],561,Coord_Z,0.7652,,,,
Point,¥œµÈ∆¡[8,5],569,Coord_Z,0.7665,,,,
Point,¥œµÈ∆¡[8,6],577,Coord_Z,0.7674,,,,
Point,¥œµÈ∆¡[8,7],585,Coord_Z,0.7683,,,,
Point,¥œµÈ∆¡[8,8],593,Coord_Z,0.7666,,,,
Point,¥œµÈ∆¡[8,9],601,Coord_Z,0.7763,,,,
Point,¥œµÈ∆¡[8,10],609,Coord_Z,0.7771,,,,
Point,¥œµÈ∆¡[8,11],617,Coord_Z,0.7788,,,,
Point,¥œµÈ∆¡[9,2],625,Coord_Z,0.7735,,,,
Point,¥œµÈ∆¡[9,3],633,Coord_Z,0.7706,,,,
Point,¥œµÈ∆¡[9,4],641,Coord_Z,0.7674,,,,
Point,¥œµÈ∆¡[9,5],649,Coord_Z,0.7692,,,,
Point,¥œµÈ∆¡[9,6],657,Coord_Z,0.7703,,,,
Point,¥œµÈ∆¡[9,7],665,Coord_Z,0.7703,,,,
Point,¥œµÈ∆¡[9,8],673,Coord_Z,0.7707,,,,
Point,¥œµÈ∆¡[9,9],681,Coord_Z,0.7705,,,,
Point,¥œµÈ∆¡[9,10],689,Coord_Z,0.7742,,,,
Point,¥œµÈ∆¡[10,3],697,Coord_Z,0.773,,,,
Point,¥œµÈ∆¡[10,4],705,Coord_Z,0.7708,,,,
Point,¥œµÈ∆¡[10,5],713,Coord_Z,0.77,,,,
Point,¥œµÈ∆¡[10,6],721,Coord_Z,0.77,,,,
Point,¥œµÈ∆¡[10,7],729,Coord_Z,0.7716,,,,
Point,¥œµÈ∆¡[10,8],737,Coord_Z,0.7719,,,,
Point,¥œµÈ∆¡[10,9],745,Coord_Z,0.7754,,,,
Point,¥œµÈ∆¡[11,4],753,Coord_Z,0.776,,,,
Point,¥œµÈ∆¡[11,5],761,Coord_Z,0.7737,,,,
Point,¥œµÈ∆¡[11,6],769,Coord_Z,0.7731,,,,
Point,¥œµÈ∆¡[11,7],777,Coord_Z,0.7754,,,,
Point,¥œµÈ∆¡[11,8],785,Coord_Z,0.7783,,,,
