FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,로컬높이_1,4,SC,0.4922,,,,,
Distance,높이_1,5,SC,0.4915,,,,,
Distance,로컬높이_2,8,SC,0.4877,,,,,
Distance,높이_2,9,SC,0.4879,,,,,
Distance,로컬높이_3,12,SC,0.4918,,,,,
Distance,높이_3,13,SC,0.4926,,,,,
Distance,로컬높이_4,16,SC,0.5014,,,,,
Distance,높이_4,17,SC,0.5025,,,,,
Distance,로컬높이_5,20,SC,0.4874,,,,,
Distance,높이_5,21,SC,0.4889,,,,,
Distance,로컬높이_6,24,SC,0.5036,,,,,
Distance,높이_6,25,SC,0.5044,,,,,
Distance,로컬높이_7,28,SC,0.4914,,,,,
Distance,높이_7,29,SC,0.4928,,,,,
Distance,로컬높이_8,32,SC,0.5001,,,,,
Distance,높이_8,33,SC,0.5020,,,,,
Distance,로컬높이_9,36,SC,0.4851,,,,,
Distance,높이_9,37,SC,0.4877,,,,,
Distance,로컬높이_10,40,SC,0.4899,,,,,
Distance,높이_10,41,SC,0.4923,,,,,
Distance,로컬높이_11,44,SC,0.4945,,,,,
Distance,높이_11,45,SC,0.4965,,,,,
Distance,로컬높이_12,48,SC,0.4899,,,,,
Distance,높이_12,49,SC,0.4928,,,,,
Distance,로컬높이_13,52,SC,0.4892,,,,,
Distance,높이-13,53,SC,0.4923,,,,,
Distance,로컬높이_14,56,SC,0.5033,,,,,
Distance,높이_14,57,SC,0.5072,,,,,
Distance,로컬높이_15,60,SC,0.4888,,,,,
Distance,높이_15,61,SC,0.4930,,,,,
Distance,로컬높이_16,64,SC,0.4744,,,,,
Distance,높이_16,65,SC,0.4785,,,,,
Distance,로컬높이_17,68,SC,0.4898,,,,,
Distance,높이_17,69,SC,0.4941,,,,,
Distance,로컬높이_18,72,SC,0.4909,,,,,
Distance,높이_18,73,SC,0.4957,,,,,
Distance,로컬높이_19,76,SC,0.4904,,,,,
Distance,높이_19,77,SC,0.4955,,,,,
Distance,로컬높이_20,80,SC,0.4883,,,,,
Distance,높이_,81,SC,0.4936,,,,,
Distance,로컬높이_21,84,SC,0.4900,,,,,
Distance,높이_21,85,SC,0.4948,,,,,
Distance,로컬높이_22,88,SC,0.4929,,,,,
Distance,높이_22,89,SC,0.4980,,,,,
Distance,로컬높이_23,92,SC,0.4863,,,,,
Distance,높이_23,93,SC,0.4920,,,,,
Distance,로컬높이_24,96,SC,0.4886,,,,,
Distance,높이_24,97,SC,0.4943,,,,,
Distance,로컬높이_25,100,SC,0.4884,,,,,
Distance,높이_25,101,SC,0.4945,,,,,
