FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,로컬높이_1,4,SC,0.4882,,,,,
Distance,높이_1,5,SC,0.4882,,,,,
Distance,로컬높이_2,8,SC,0.4834,,,,,
Distance,높이_2,9,SC,0.4844,,,,,
Distance,로컬높이_3,12,SC,0.4987,,,,,
Distance,높이_3,13,SC,0.5000,,,,,
Distance,로컬높이_4,16,SC,0.4901,,,,,
Distance,높이_4,17,SC,0.4916,,,,,
Distance,로컬높이_5,20,SC,0.4929,,,,,
Distance,높이_5,21,SC,0.4956,,,,,
Distance,로컬높이_6,24,SC,0.4877,,,,,
Distance,높이_6,25,SC,0.4906,,,,,
Distance,로컬높이_7,28,SC,0.4843,,,,,
Distance,높이_7,29,SC,0.4878,,,,,
Distance,로컬높이_8,32,SC,0.4854,,,,,
Distance,높이_8,33,SC,0.4895,,,,,
Distance,로컬높이_9,36,SC,0.4991,,,,,
Distance,높이_9,37,SC,0.5037,,,,,
Distance,로컬높이_10,40,SC,0.5001,,,,,
Distance,높이_10,41,SC,0.5059,,,,,
Distance,로컬높이_11,44,SC,0.4835,,,,,
Distance,높이_11,45,SC,0.4893,,,,,
Distance,로컬높이_12,48,SC,0.4977,,,,,
Distance,높이_12,49,SC,0.5040,,,,,
Distance,로컬높이_13,52,SC,0.4924,,,,,
Distance,높이_13,53,SC,0.4999,,,,,
Distance,로컬높이_14,56,SC,0.4987,,,,,
Distance,높이_14,57,SC,0.5064,,,,,
Distance,로컬높이_15,60,SC,0.4933,,,,,
Distance,높이_15,61,SC,0.5016,,,,,
Distance,로컬높이_16,64,SC,0.4918,,,,,
Distance,높이_16,65,SC,0.5003,,,,,
Distance,로컬높이_17,68,SC,0.4830,,,,,
Distance,높이_17,69,SC,0.4919,,,,,
Distance,로컬높이_18,72,SC,0.4924,,,,,
Distance,높이_18,73,SC,0.5020,,,,,
Distance,로컬높이_19,76,SC,0.4826,,,,,
Distance,높이_19,77,SC,0.4920,,,,,
Distance,로컬높이_20,80,SC,0.5088,,,,,
Distance,높이_20,81,SC,0.5185,,,,,
Distance,로컬높이_21,84,SC,0.4886,,,,,
Distance,높이_21,85,SC,0.4988,,,,,
Distance,로컬높이_22,88,SC,0.4975,,,,,
Distance,높이_22,89,SC,0.5078,,,,,
Distance,로컬높이_23,92,SC,0.4996,,,,,
Distance,높이_23,93,SC,0.5109,,,,,
Distance,로컬높이_24,96,SC,0.4746,,,,,
Distance,높이_24,97,SC,0.4857,,,,,
Distance,로컬높이_25,100,SC,0.5028,,,,,
Distance,높이_25,101,SC,0.5145,,,,,
