FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,로컬높이_1,4,SC,0.5030,,,,,
Distance,높이_1,5,SC,0.5032,,,,,
Distance,로컬높이_2,8,SC,0.5011,,,,,
Distance,높이_2,9,SC,0.5019,,,,,
Distance,로컬높이_3,12,SC,0.5104,,,,,
Distance,높이_3,13,SC,0.5121,,,,,
Distance,로컬높이_4,16,SC,0.4927,,,,,
Distance,높이_4,17,SC,0.4942,,,,,
Distance,로컬높이_5,20,SC,0.4950,,,,,
Distance,높이_5,21,SC,0.4964,,,,,
Distance,로컬높이_6,24,SC,0.4945,,,,,
Distance,높이_6,25,SC,0.4970,,,,,
Distance,로컬높이_7,28,SC,0.4926,,,,,
Distance,높이_7,29,SC,0.4958,,,,,
Distance,로컬높이_8,32,SC,0.4911,,,,,
Distance,높이_8,33,SC,0.4947,,,,,
Distance,로컬높이_9,36,SC,0.5065,,,,,
Distance,높이_9,37,SC,0.5097,,,,,
Distance,로컬높이_10,40,SC,0.5035,,,,,
Distance,높이_10,41,SC,0.5069,,,,,
Distance,로컬높이_11,44,SC,0.5006,,,,,
Distance,높이_11,45,SC,0.5050,,,,,
Distance,로컬높이_12,48,SC,0.5046,,,,,
Distance,높이_12,49,SC,0.5091,,,,,
Distance,로컬높이_13,52,SC,0.5019,,,,,
Distance,높이_13,53,SC,0.5064,,,,,
Distance,로컬높이_14,56,SC,0.5026,,,,,
Distance,높이_14,57,SC,0.5079,,,,,
Distance,로컬높이_15,60,SC,0.5070,,,,,
Distance,높이_15,61,SC,0.5124,,,,,
Distance,로컬높이_16,64,SC,0.5074,,,,,
Distance,높이_16,65,SC,0.5123,,,,,
Distance,로컬높이_17,68,SC,0.5007,,,,,
Distance,높이_17,69,SC,0.5063,,,,,
Distance,로컬높이_18,72,SC,0.4960,,,,,
Distance,높이_18,73,SC,0.5021,,,,,
Distance,로컬높이_19,76,SC,0.5046,,,,,
Distance,높이_19,77,SC,0.5112,,,,,
Distance,로컬높이_20,80,SC,0.4997,,,,,
Distance,높이_20,81,SC,0.5066,,,,,
Distance,로컬높이_21,84,SC,0.4946,,,,,
Distance,높이_21,85,SC,0.5012,,,,,
Distance,로컬높이_22,88,SC,0.4938,,,,,
Distance,높이_22,89,SC,0.5002,,,,,
Distance,로컬높이_23,92,SC,0.5041,,,,,
Distance,높이_23,93,SC,0.5041,,,,,
Distance,높이_23수정,94,SC,0.5106,,,,,
Distance,로컬높이_24,97,SC,0.5013,,,,,
Distance,높이_24,98,SC,0.5085,,,,,
Distance,로컬높이_25,101,SC,0.4876,,,,,
Distance,노핑_25,102,SC,0.4956,,,,,
