FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0019,,,
Plane,면-2,10,Flatness,,,0.0000,,,
Plane,니들베이스면,11,Flatness,,,0.0036,,,
Distance,베이스두께1,16,SC,1.0124,,,,,
Distance,베이스면두께2,17,SC,1.0109,,,,,
Distance,베이스두께3,18,SC,1.0011,,,,,
Distance,베이스두께4,19,SC,1.0052,,,,,
Distance,서포트두께1,24,SC,0.5006,,,,,
Distance,서포트두께2,25,SC,0.5051,,,,,
Distance,서포트두께3,26,SC,0.4911,,,,,
Distance,서포트두께4,27,SC,0.4952,,,,,
Circle,니들내경,28,Diameter,9.9359,,,,,
Circle,니들내경,28,Radius,4.9680,,,,,
Distance,k,73,LC,0.7621,,,,,
Distance,l,74,LC,1.5532,,,,,
Distance,m,75,LC,2.3756,,,,,
Distance,n,76,LC,3.1980,,,,,
Distance,o,77,LC,3.9494,,,,,
Distance,p,78,LC,0.8074,,,,,
Distance,q,79,LC,1.5951,,,,,
Distance,r,80,LC,2.3792,,,,,
Distance,s,81,LC,3.1763,,,,,
Distance,t,82,LC,3.9761,,,,,
Distance,u,83,LC,0.7960,,,,,
Distance,v,84,LC,1.5899,,,,,
Distance,w,85,LC,2.3824,,,,,
Distance,x,86,LC,3.1807,,,,,
Distance,y,87,LC,3.9733,,,,,
Distance,z,88,LC,0.7951,,,,,
Distance,label1,89,LC,1.5906,,,,,
Distance,label2,90,LC,2.3885,,,,,
Distance,label3,91,LC,3.1806,,,,,
Distance,label4,92,LC,3.9809,,,,,
Circle,MN_out_Diameter,93,Diameter,13.4069,,,,,
Circle,MN_out_Diameter,93,Radius,6.7034,,,,,
Distance,cplusd,99,LC,10.4983,,,,,
Distance,aplusb,101,LC,12.8884,,,,,
Circle,원-1,102,Diameter,13.6457,,,,,
Circle,원-1,102,Radius,6.8228,,,,,
