FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0001,,,
Plane,면-2,10,Flatness,,,0.0000,,,
Plane,니들베이스면,11,Flatness,,,0.0004,,,
Distance,베이스두께1,16,SC,1.0085,,,,,
Distance,베이스면두께2,17,SC,1.0100,,,,,
Distance,베이스두께3,18,SC,1.0002,,,,,
Distance,베이스두께4,19,SC,1.0031,,,,,
Distance,서포트두께1,24,SC,0.4630,,,,,
Distance,서포트두께2,25,SC,0.4505,,,,,
Distance,서포트두께3,26,SC,0.4477,,,,,
Distance,서포트두께4,27,SC,0.4626,,,,,
Circle,니들내경,28,Diameter,9.9405,,,,,
Circle,니들내경,28,Radius,4.9702,,,,,
Distance,k,73,LC,0.7992,,,,,
Distance,l,74,LC,1.5911,,,,,
Distance,m,75,LC,2.3889,,,,,
Distance,n,76,LC,3.1816,,,,,
Distance,o,77,LC,3.9778,,,,,
Distance,p,78,LC,0.7933,,,,,
Distance,q,79,LC,1.5918,,,,,
Distance,r,80,LC,2.3859,,,,,
Distance,s,81,LC,3.1802,,,,,
Distance,t,82,LC,3.9754,,,,,
Distance,u,83,LC,0.7930,,,,,
Distance,v,84,LC,1.5887,,,,,
Distance,w,85,LC,2.3863,,,,,
Distance,x,86,LC,3.1784,,,,,
Distance,y,87,LC,3.9762,,,,,
Distance,z,88,LC,0.7979,,,,,
Distance,label1,89,LC,1.5912,,,,,
Distance,label2,90,LC,2.3855,,,,,
Distance,label3,91,LC,3.1858,,,,,
Distance,label4,92,LC,3.9755,,,,,
Circle,MN_out_Diameter,93,Diameter,13.6917,,,,,
Circle,MN_out_Diameter,93,Radius,6.8459,,,,,
