Time [s]	Quad Ch.  1(Target)[mbar]	Quad Ch.  1(Read)[mbar]	Quad Ch.  2(Target)[mbar]	Quad Ch.  2(Read)[mbar]	Quad Ch.  3(Target)[mbar]	Quad Ch.  3(Read)[mbar]	Quad Ch.  4(Target)[mbar]	Quad Ch.  4(Read)[mbar]	qm(Target) [µl/min]	qm(Read)[µl/min]	
337.0720	0.0000	-0.5212	-35.3541	-36.2433	0.0000	-0.4102	0.0000	-0.6622	250.0000	111.7717	
337.1220	0.0000	-0.5212	-35.2733	-36.2433	0.0000	-0.4102	0.0000	-0.4486	250.0000	108.9577	
337.1730	0.0000	-0.0940	-35.3793	-36.0297	0.0000	-0.4102	0.0000	-0.6622	250.0000	117.1396	
337.2230	0.0000	-0.3076	-35.3625	-36.2433	0.0000	-0.4102	0.0000	-0.4486	250.0000	117.9911	
337.2720	0.0000	-0.3076	-35.3316	-36.0297	0.0000	-0.4102	0.0000	-0.4486	250.0000	118.0355	
337.3220	0.0000	-0.5212	-35.2847	-36.0297	0.0000	-0.4102	0.0000	-0.4486	250.0000	117.0595	
337.3720	0.0000	-0.7349	-35.2708	-36.0297	0.0000	-0.1965	0.0000	-0.4486	250.0000	118.0801	
337.4220	0.0000	-0.5212	-35.2772	-36.0297	0.0000	-0.4102	0.0000	-0.2350	0.0000	120.2786	
337.4720	0.0000	-0.5212	-35.2208	-35.8160	0.0000	-0.4102	0.0000	-0.8759	250.0000	118.7840	
337.5220	0.0000	-0.3076	-35.2708	-36.0297	0.0000	-0.4102	0.0000	-0.4486	250.0000	123.6816	
337.5730	0.0000	-0.0940	-35.2438	-35.8160	0.0000	-0.1965	0.0000	-0.4486	250.0000	118.3766	
337.6230	0.0000	-0.0940	-35.1242	-35.8160	0.0000	-0.1965	0.0000	-0.4486	250.0000	118.3766	
337.6730	0.0000	-0.3076	-35.0923	-35.6024	0.0000	-0.1965	0.0000	-0.4486	250.0000	118.2813	
337.7220	0.0000	-0.5212	-35.0731	-35.3888	0.0000	-0.1965	0.0000	-0.4486	250.0000	118.9750	
337.7720	0.0000	-0.5212	-35.1844	-35.8160	0.0000	-0.1965	0.0000	-0.4486	250.0000	127.4528	
337.8220	0.0000	-0.5212	-35.1644	-35.8160	0.0000	-0.4102	0.0000	-0.6622	250.0000	127.9393	
337.8720	0.0000	-0.5212	-35.0603	-35.8160	0.0000	-0.6238	0.0000	-0.4486	250.0000	123.4411	
337.9220	0.0000	-0.7349	-35.0692	-35.8160	0.0000	-0.4102	0.0000	-0.8759	250.0000	125.6956	
337.9730	0.0000	-0.5212	-35.0527	-35.8160	0.0000	-0.4102	0.0000	-0.6622	250.0000	126.4847	
